long,lat
-72.88,43.48
-71.13,42.28
-73.35,42.19
-70.33,43.59
-71.1,42.39
-72.58,42.35
-73.68,40.82
-122.3,47.61
-77.22,42.4
-73.99,40.71
-75.4,40.06
-72.68,42.26
-73.22,44.48
-71.63,42.38
-73.03,43.7
-69.07,44.18
-72.67,42.32
-72.67,42.32
-122.38,47.66
-118.18,33.83
-71,42.83
-72.92,41.31
-71.11,42.37
-71.1,42.39
-71.1,42.39
-71.13,42.35
-71.1,42.39
-71.1,42.39
-72.67,42.32
-73.94,40.64
-71.11,42.37
-71.1,42.39
-73.99,40.71
-71.78,42.36
-71.1,42.39
-104.87,39.76
-104.87,39.76
-71.06,42.35
-71.1,42.42
-72.56,42.26
-77.61,43.16
-72.52,43.82
-72.57,44.26
-85.74,38.22
-73.04,43.17
-70.25,43.66
-71.1,42.39
-71.1,42.39
-73.99,40.71
-72.65,42.98
-71.24,42.38
-71.16,42.28
-71.1,42.39
-71.1,42.39
-72.75,44.33
-72.06,44.08
-73.92,41.69
-70.25,43.66
-71.11,42.37
-73.94,40.64
-71.1,42.39
-73.94,40.64
-73.22,44.48
-73.94,40.64
-72.67,42.32
-70.79,43.68
-70.79,43.68
-71.5,42.43
-71.11,42.37
-72.67,42.32
-96.01,41.26
-72.57,44.26
-75.29,40
-71.1,42.39
-122.07,37.38
-135,56.73
