long,lat
-73.68,40.82
-89.55,37.3
-75.16,39.95
-73.99,40.71
-71.54,42.34
-75.97,43
-72.55,42.59
-71.1,42.42
-71.06,42.35
-72.24,42.25
-148.46,61.6
-71.14,42.45
-75.16,39.95
-73.99,40.71
-72.67,42.32
-71.24,42.28
-122.44,37.76
-70.98,42.37
-75.51,40.13
-71.1,42.39
-73.99,40.71
-73.99,40.71
-73.23,44.38
-71.1,42.39
-71.24,42.38
-73.04,43.17
-70.25,43.66
-71.1,42.42
-69.71,44.77
-73.22,44.48
-72.24,42.25
-73.23,44.38
-72.82,43.88
-71.41,41.82
-72.65,42.98
-71.46,42.48
-72.57,44.26
-72.21,43.01
-75.17,39.78
-71.35,42.45
-71.11,42.37
-71.1,42.39
-71.1,42.39
-73.94,40.64
-75.6,39.95
-72.57,42.86
-71.06,42.35
-81.63,41.23
-73.94,40.64
-149.94,61.19
-73.99,40.71
-71.1,42.39
-71.15,42.35
-72.57,44.26
-73.22,44.48
-71.1,42.39
-70.88,42.6
-71.1,42.39
-73.23,44.38
-122.3,47.61
-71.1,42.42
-72.51,42.87
-77.61,43.16
-72.57,44.26
-71.1,42.42
-75.16,39.95
-73.53,40.86
-77.61,43.16
-71.11,42.37
-71.1,42.39
-75.97,43
-71.1,42.39
-76.5,42.44
-71.11,42.37
-74.27,40.73
-73.25,44.16
-85.74,38.22
-74.54,40.38
-72.53,42.53
-76.33,43.15
-72.57,44.26
-71.1,42.42
-71.1,42.39
-72.56,42.26
-73,44.4
-71.1,42.39
-75.22,40.68
-71.11,42.37
-71.16,42.41
-70.56,41.92
-85.74,38.22
-72.67,42.32
-72.67,42.32
-72.57,42.86
-71.1,42.39
-73.99,40.71
-72.67,42.32
-72.18,40.98
-85.74,38.22
-72.25,41.8
-71.1,42.39
-78.85,42.88
-82.21,41.29
-75.36,40.62
-72.67,42.32
-71.41,41.82
-72.59,42.58
-73.08,44.13
-71.1,42.39
-71.1,42.39
-70.66,41.95
-79.95,40.57
-71.41,41.82
-77.67,42.98
-76.59,42.36
-72.56,42.26
-122.29,47.66
-82.21,41.29
-86.14,39.77
-122.48,48.73
-122.24,37.86
-72.21,41.71
-71.1,42.39
-81.6,41.01
-70.25,43.66
-78.19,41.96
-74.65,40.35
-72.52,42.37
-76.59,42.36
-71.1,42.39
-71.1,42.39
-72.68,42.51
-71.1,42.39
-71.1,42.39
-71.06,42.35
-73.22,44.48
-122.48,48.73
