long,lat
-73.99,40.71
-75.16,39.95
-74.65,40.35
-79.97,40.43
-73.99,40.71
-71.1,42.39
-72.55,42.59
-71.41,41.82
-71.11,42.3
-75.97,43
-87.05,36.27
-75.51,40.13
-75.16,39.95
-71.1,42.39
-87.05,36.27
-72.57,44.26
-71.1,42.39
-71.1,42.39
-79.97,40.43
-73.94,40.64
-71.11,42.37
-85.74,38.22
-71.1,42.39
-72.98,44.5
-75.22,40.68
-71.1,42.39
-72.53,42.53
-71.15,42.35
-72.57,42.86
-72.25,41.8
-73.99,40.71
-72.49,44.28
-71.1,42.39
-72.52,43.82
-85.74,38.22
-122.3,37.81
-71.1,42.39
-71.46,42.48
-71.1,42.39
-71.1,42.39
-105.05,39.88
-85.74,38.22
-85.74,38.22
-71.46,42.48
-71.1,42.39
-71.5,42.43
-122.34,47.67
-75.16,39.95
-77.61,43.16
-135,56.73
-71.1,42.39
-122.3,37.81
-122.59,45.57
-72.67,42.32
-73.84,41.13
-71.06,42.35
-72.57,44.26
-71.1,42.39
-75.16,39.95
-76.5,42.44
-70.25,43.66
-97.01,47.93
-71.41,41.82
-69.02,44.42
-76.99,40.57
-71.1,42.39
-71.56,43.33
-73.99,40.71
-73.99,40.71
-93.26,44.96
-86.78,36.17
-122.24,37.86
-71.41,41.82
-75.16,39.95
-79.97,40.43
-73.99,40.71
-73.22,44.48
-73.99,40.71
-73.99,40.71
-73.94,40.64
-72.82,43.88
-111,32.26
-73.99,40.71
-71.4,42.36
-77.61,43.16
-73.99,40.71
-72.56,42.26
-71.1,42.39
-73.59,42.36
-72.59,42.58
-76.59,42.36
-71.1,42.39
-73.94,40.64
-71.1,42.39
-77.13,40.15
-76.33,43.15
-71.1,42.39
-76.59,42.36
-71.1,42.42
-73.22,44.48
-72.57,42.86
-71.1,42.39
-73.22,44.48
-69.58,44.39
-71.1,42.39
-71.1,42.39
-122.48,48.73
-72.59,42.58
-71.1,42.39
-86.39,35.85
-73.27,44.48
-73.15,44.23
-71.1,42.39
-122.3,47.61
-122.26,37.83
-71.1,42.39
-71.06,42.35
-72.21,41.71
-73.23,44.38
-72.59,42.58
-71.1,42.39
-71.16,42.28
-72.57,44.26
-71.1,42.39
-73.99,40.71
-73.68,40.82
-72.67,42.32
-71.1,42.39
-73.22,44.48
-77.61,43.16
-73.47,41.87
-72.57,44.26
-71.24,42.38
-73.85,43
-71.06,42.35
-71.15,42.35
-71.08,42.24
-71.11,42.37
-72.35,44.35
