long,lat
-81.35,29.11
-79.99,32.78
-79.75,32.8
-84.51,33.86
-81.03,34.0
-118.49,34.03
-82.09,35.05
-80.83,35.19
-80.32,35.22
-82.54,35.57
-82.54,35.57
-82.54,35.57
-78.65,35.82
-78.65,35.82
-79.04,35.92
-78.91,35.98
-106.95,36.02
-84.29,37.57
-122.43,37.75
-122.25,37.86
-78.48,38.03
-78.48,38.03
-85.74,38.22
-77.1,38.87
-77.1,38.87
-77.03,38.89
-77.03,38.89
-77.0,38.98
-76.77,39.14
-86.84,39.64
-75.29,40.0
-75.12,40.09
-75.14,40.09
-122.43,40.13
-74.93,40.22
-74.87,40.28
-74.65,40.35
-74.65,40.35
-74.61,40.57
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.99,40.71
-73.99,40.71
-82.21,41.29
-82.21,41.29
-72.92,41.31
-71.27,41.51
-72.65,41.54
-71.46,41.55
-71.31,41.73
-72.25,41.8
-88.1,41.85
-70.66,41.95
-70.66,41.95
-72.64,42.21
-73.78,42.25
-72.56,42.26
-72.56,42.26
-71.8,42.26
-71.16,42.28
-71.11,42.3
-71.43,42.3
-71.2,42.31
-72.67,42.32
-72.67,42.32
-72.67,42.32
-72.67,42.32
-72.67,42.32
-72.67,42.32
-71.14,42.32
-71.14,42.32
-72.67,42.32
-71.15,42.35
-71.2,42.35
-71.13,42.35
-72.6,42.37
-71.11,42.37
-71.11,42.37
-71.11,42.37
-71.11,42.37
-71.24,42.38
-71.24,42.38
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.3,42.41
-71.16,42.41
-71.1,42.42
-71.5,42.43
-71.05,42.43
-71.05,42.43
-76.5,42.44
-73.26,42.45
-71.46,42.48
-71.26,42.48
-71.15,42.48
-72.53,42.53
-72.06,42.55
-71.26,42.55
-72.4,42.6
-71.0,42.8
-73.92,42.8
-75.54,42.82
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.29,42.95
-71.45,42.99
-75.97,43.0
-76.41,43.31
-72.29,43.62
-72.27,43.7
-72.52,43.82
-69.83,43.93
-69.33,43.98
-69.48,44.07
-70.67,44.11
-73.25,44.2
-69.06,44.2
-72.98,44.33
-73.07,44.43
-73.22,44.48
-73.22,44.48
-73.11,44.49
-68.78,44.83
-75.73,45.41
-75.73,45.41
-73.6,45.55
-119.32,46.35
-122.0,47.55
-122.28,47.68
-122.41,48.68
-122.63,48.86
-122.61,49.19
,
,
,
,
,
,
