long,lat
-81.78,24.55
-80.84,35.49
-82.54,35.57
-82.54,35.57
-82.54,35.57
-79.08,35.91
-79.08,35.91
-89.55,37.3
-122.44,37.76
-122.44,37.76
-122.26,37.9
-122.7,38.31
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.03,38.89
-77.03,38.89
-90.18,38.96
-77.0,38.98
-77.19,39.02
-77.15,39.08
-76.61,39.3
-76.61,39.3
-76.61,39.3
-76.61,39.3
-75.16,39.95
-74.76,40.22
-74.79,40.32
-76.5,40.33
-74.65,40.35
-74.65,40.35
-74.65,40.35
-74.64,40.46
-74.61,40.57
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.99,40.71
-72.67,41.28
-82.1,41.37
-72.24,41.38
-81.67,41.47
-70.66,41.52
-72.25,41.8
-71.41,41.82
-71.41,41.82
-71.41,41.82
-87.68,41.83
-87.68,41.83
-70.03,41.93
-70.03,41.93
-70.66,41.95
-70.66,41.95
-70.66,41.95
-70.66,41.95
-73.35,42.19
-71.8,42.26
-71.13,42.28
-72.67,42.32
-72.67,42.32
-72.67,42.32
-71.54,42.34
-71.06,42.35
-71.15,42.35
-71.15,42.35
-71.06,42.35
-71.06,42.35
-71.06,42.35
-71.11,42.37
-71.11,42.37
-72.52,42.37
-71.11,42.37
-71.11,42.37
-72.52,42.37
-71.11,42.37
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.16,42.41
-71.16,42.41
-71.16,42.41
-71.1,42.42
-71.1,42.42
-71.1,42.42
-71.1,42.42
-76.5,42.44
-71.23,42.44
-76.5,42.44
-71.23,42.44
-76.5,42.44
-72.4,42.45
-71.35,42.45
-71.14,42.45
-71.09,42.47
-73.44,42.54
-72.59,42.58
-72.59,42.58
-72.59,42.58
-72.55,42.59
-72.55,42.59
-72.55,42.59
-71.23,42.61
-71.11,42.7
-72.57,42.86
-77.61,43.16
-73.64,43.31
-71.98,43.41
-70.44,43.46
-72.29,43.62
-70.44,43.68
-69.51,44.03
-69.51,44.03
-70.17,44.08
-73.08,44.13
-69.62,44.17
-72.57,44.26
-72.57,44.26
-72.57,44.26
-72.57,44.26
-69.0,44.28
-73.23,44.38
-73.23,44.38
-73.0,44.4
-73.22,44.48
-73.22,44.48
-73.22,44.48
-72.41,44.65
-72.2,44.93
-93.26,44.96
-72.57,45.35
-122.64,45.51
-122.59,45.57
-122.32,47.63
-151.32,59.4
-151.32,59.4
-151.32,59.4
,
