long,lat
-82.48,27.95
-86.79,33.52
-118.13,34.13
-82.58,35.46
-82.54,35.57
-82.54,35.57
-82.54,35.57
-82.54,35.57
-82.54,35.57
-105.76,35.58
-105.95,35.67
-79.04,35.92
-107.88,37.27
-84.29,37.57
-80.88,37.66
-78.48,38.03
-106.14,38.83
-77.03,38.89
-77.03,38.89
-77.0,38.98
-77.71,39.13
-76.7,39.39
-76.7,39.39
-76.64,39.43
-76.64,39.89
-75.16,39.95
-75.16,39.95
-75.16,39.95
-75.16,39.95
-75.14,40.09
-88.2,40.1
-74.65,40.35
-74.65,40.35
-74.65,40.35
-75.1,40.43
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.94,40.64
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.99,40.71
-73.92,40.74
-73.92,40.74
-74.4,40.85
-73.78,40.94
-72.18,40.98
-72.18,40.98
-73.58,41.03
-75.88,41.26
-71.51,41.45
-70.66,41.52
-72.65,41.54
-71.1,41.66
-71.31,41.73
-72.25,41.8
-72.25,41.8
-71.41,41.82
-70.66,41.95
-73.83,41.99
-71.64,42.05
-87.76,42.13
-72.64,42.21
-73.78,42.25
-72.56,42.26
-72.52,42.26
-71.16,42.31
-72.67,42.32
-72.67,42.32
-72.67,42.32
-71.13,42.35
-71.15,42.35
-71.06,42.35
-72.52,42.37
-71.11,42.37
-72.52,42.37
-71.11,42.37
-72.52,42.37
-71.24,42.38
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.1,42.39
-71.16,42.41
-71.16,42.41
-71.3,42.41
-71.1,42.42
-71.14,42.45
-72.58,42.46
-72.58,42.46
-71.35,42.53
-72.53,42.53
-72.59,42.58
-72.59,42.58
-71.14,42.65
-71.81,42.68
-72.43,42.7
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-72.57,42.86
-73.18,42.87
-71.6,43.01
-76.14,43.04
-75.37,43.04
-75.37,43.04
-73.77,43.06
-71.58,43.44
-73.41,43.56
-72.29,43.62
-72.42,43.65
-70.25,43.66
-79.48,43.66
-72.27,43.7
-72.52,43.82
-72.26,43.89
-73.32,43.9
-72.6,44.05
-72.43,44.1
-73.22,44.48
-73.22,44.48
-73.22,44.48
-73.22,44.48
-73.22,44.48
-73.18,44.49
-69.55,44.56
-73.31,44.64
-123.71,45.27
-122.29,47.66
-122.28,47.68
-122.28,47.68
-122.61,49.19
-151.32,59.4
,
